web-scraper-order,web-scraper-start-url,champion,champion-href,Counters,Countered
"1515286521-1123","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nidalee","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nidalee/","RekSai",""
"1515286297-642","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Swain","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Swain/","","Morgana"
"1515286377-832","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ryze","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ryze/","Galio",""
"1515287001-2282","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Brand","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Brand/","","Janna"
"1515287099-2491","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Aatrox","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Aatrox/","Sejuani",""
"1515286957-2146","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Darius","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Darius/","Ornn",""
"1515286682-1527","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kennen","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kennen/","","Irelia"
"1515286289-622","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Syndra","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Syndra/","","Xerath"
"1515286716-1607","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Karthus","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Karthus/","Teemo",""
"1515286055-111","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Yorick","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Yorick/","Vayne",""
"1515286648-1441","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kog'Maw","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/KogMaw/","Lucian",""
"1515287063-2420","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Amumu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Amumu/","Ezreal",""
"1515286115-296","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vi","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Vi/","Khazix",""
"1515286343-740","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Singed","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Singed/","Rengar",""
"1515286733-1671","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jinx","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Jinx/","","Sivir"
"1515286195-449","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Twisted Fate","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/TwistedFate/","","Morgana"
"1515286253-543","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Taric","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Taric/","Fiddlesticks",""
"1515286502-1071","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Olaf","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Olaf/","Rumble",""
"1515286622-1371","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lissandra","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Lissandra/","Darius",""
"1515286031-37","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zilean","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zilean/","Ekko",""
"1515286914-2008","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Fiddlesticks","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Fiddlesticks/","","Shyvana"
"1515287021-2316","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Bard","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Bard/","","Nautilus"
"1515286081-199","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Wukong","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/MonkeyKing/","Akali",""
"1515286588-1312","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Malphite","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Malphite/","","Morgana"
